"fiscalyear","dist","district_name","source","expenditures_per_pupil","amount","enrollment_category","enrollment_category_number","topic","proficient","total","percent_proficient","proficient_category"
2017,"0585","Bellevue","Instruction",7784,4367650,"300-599","2","Reading",35,42,"83.30","80.1 - 90%"
2017,"0594","Belmond-Klemme","Instruction",7907,6335574,"600-999","3","Reading",34,48,"70.80","70.1 - 80%"
2017,"0609","Benton","Instruction",6907,10243290,"1,000-2,499","4","Reading",101,114,"88.60","80.1 - 90%"
2017,"0621","Bettendorf","Instruction",8205,33287056,"2,500-7,499","5","Reading",292,333,"87.70","80.1 - 90%"
2017,"0720","Bondurant-Farrar","Instruction",6409,11623721,"1,000-2,499","4","Reading",105,120,"87.50","80.1 - 90%"
2017,"0729","Boone","Instruction",7912,16350231,"1,000-2,499","4","Reading",142,171,"83.00","80.1 - 90%"
2017,"0747","Boyden-Hull","Instruction",8004,4895415,"600-999","3","Reading",32,40,"80.00","70.1 - 80%"
2017,"1917","Boyer Valley","Instruction",7845,3324816,"300-599","2","Reading",32,38,"84.20","80.1 - 90%"
2017,"0846","Brooklyn-Guernsey-Malcom","Instruction",7964,4252178,"300-599","2","Reading",28,34,"82.40","80.1 - 90%"
2017,"0882","Burlington","Instruction",7712,34377483,"2,500-7,499","5","Reading",171,239,"71.50","70.1 - 80%"
2017,"0916","CAL","Instruction",10086,2633418,"<300","1","Reading",14,21,"66.70","60.1 - 70%"
2017,"0914","CAM","Instruction",14230,6673777,"300-599","2","Reading",59,75,"78.70","70.1 - 80%"
2017,"0918","Calamus-Wheatland","Instruction",7705,3691360,"300-599","2","Reading",27,29,"93.10","90.1 - 100%"
2017,"0936","Camanche","Instruction",7685,6741492,"600-999","3","Reading",62,78,"79.50","70.1 - 80%"
2017,"0977","Cardinal","Instruction",9620,5411393,"300-599","2","Reading",31,38,"81.60","80.1 - 90%"
2017,"0981","Carlisle","Instruction",6385,12165841,"1,000-2,499","4","Reading",125,143,"87.40","80.1 - 90%"
2017,"0999","Carroll","Instruction",7534,12945274,"1,000-2,499","4","Reading",103,121,"85.10","80.1 - 90%"
2017,"1044","Cedar Falls","Instruction",7721,39009022,"2,500-7,499","5","Reading",306,328,"93.30","90.1 - 100%"
2017,"1053","Cedar Rapids","Instruction",7586,128505148,"7,500+","6","Reading",751,1031,"72.80","70.1 - 80%"
2017,"1062","Center Point-Urbana","Instruction",7478,10170309,"1,000-2,499","4","Reading",98,108,"90.70","90.1 - 100%"
2017,"1071","Centerville","Instruction",7971,10643212,"1,000-2,499","4","Reading",65,82,"79.30","70.1 - 80%"
2017,"1080","Central","Instruction",8314,3727362,"300-599","2","Reading",29,37,"78.40","70.1 - 80%"
2017,"1089","Central City","Instruction",7395,3534172,"300-599","2","Reading",26,30,"86.70","80.1 - 90%"
2017,"1082","Central DeWitt","Instruction",7448,10806567,"1,000-2,499","4","Reading",112,119,"94.10","90.1 - 100%"
2017,"1093","Central Decatur","Instruction",7417,5073097,"600-999","3","Reading",33,36,"91.70","90.1 - 100%"
2017,"1079","Central Lee","Instruction",9859,7750464,"600-999","3","Reading",66,87,"75.90","70.1 - 80%"
2017,"1095","Central Lyon","Instruction",7675,5894172,"600-999","3","Reading",30,39,"76.90","70.1 - 80%"
2017,"4772","Central Springs","Instruction",7846,6362859,"600-999","3","Reading",44,51,"86.30","80.1 - 90%"
2017,"1107","Chariton","Instruction",7178,9322264,"1,000-2,499","4","Reading",64,88,"72.70","70.1 - 80%"
2017,"1116","Charles City","Instruction",7834,11996662,"1,000-2,499","4","Reading",87,106,"82.10","80.1 - 90%"
2017,"1134","Charter Oak-Ute","Instruction",9045,2481134,"<300","1","Reading",7,14,"50.00","40.1 - 50%"
2017,"1152","Cherokee","Instruction",7823,7365995,"600-999","3","Reading",50,66,"75.80","70.1 - 80%"
2017,"1197","Clarinda","Instruction",7053,6934201,"600-999","3","Reading",51,67,"76.10","70.1 - 80%"
2017,"1206","Clarion-Goldfield-Dows","Instruction",8426,8014079,"600-999","3","Reading",59,70,"84.30","80.1 - 90%"
2017,"1211","Clarke","Instruction",7755,11138745,"1,000-2,499","4","Reading",59,85,"69.40","60.1 - 70%"
2017,"1215","Clarksville","Instruction",8163,2791757,"300-599","2","Reading",16,22,"72.70","70.1 - 80%"
